id,lat,long
133091796,23.555139,87.2733
133091796,23.555143,87.2907
133091796,23.555158,87.2907
133091797,23.555162,87.2910
133091797,23.555192,87.2910
133091797,23.555205,87.2906
133091797,23.555228,87.2911
133091797,23.555242,87.2905
133091797,23.555258,87.2914
133091797,23.555266,87.2903
133091797,23.555269,87.2906
133091797,23.555272,87.2910
133091798,23.555255,87.2971
133091798,23.555293,87.2906
133091798,23.555305,87.2913
133091798,23.555308,87.2917
133091798,23.555311,87.2899
133091798,23.555318,87.2911
133091798,23.555329,87.2903
133091798,23.555336,87.2906
133091798,23.555337,87.2905
133091799,23.555344,87.2910
133091799,23.555348,87.2873
133091799,23.555370,87.2910
133091799,23.555379,87.2907
133091799,23.555383,87.2871
133091799,23.555392,87.2910
133091799,23.555409,87.2907
133091799,23.555410,87.2909
133091799,23.555443,87.2909
133091800,23.555446,87.2908
133091800,23.555451,87.2908
133091800,23.555467,87.2909
133091800,23.555477,87.2869
133091800,23.555525,87.2908
133091800,23.555537,87.2909
133091800,23.555615,87.2867
133091800,23.555703,87.2908
133091800,23.555703,87.2909
133091800,23.555803,87.2866
133091801,23.555986,87.2909
133091801,23.556459,87.2741
133091801,23.556742,87.2861
133091801,23.557669,87.2749
133091802,23.558530,87.2851
133091802,23.558544,87.2754
133091803,23.558618,87.2909
133091803,23.558698,87.2849
133091804,23.558864,87.2847
133091804,23.558892,87.2849
133091804,23.558959,87.2847
133091804,23.558961,87.2848
133091804,23.558980,87.2846
133091804,23.558997,87.2848
133091804,23.559018,87.2848
133091804,23.559019,87.2758
133091806,23.559116,87.2909
133091806,23.559049,87.2849
133091806,23.559052,87.2846
133091806,23.559122,87.2848
133091806,23.559123,87.2849
133091806,23.559142,87.2845
133091806,23.559186,87.2848
133091807,23.559209,87.2845
133091807,23.559210,87.2850
133091807,23.559235,87.2848
133091807,23.559262,87.2846
133091807,23.559285,87.2847
133091807,23.559295,87.2846
133091807,23.559302,87.2847
133091807,23.559303,87.2851
133091808,23.559304,87.2849
133091808,23.559355,87.2851
133091808,23.559397,87.2909
