id,type
11850692,living_street
11850693,living_street
11850694,living_street
11850694,tertiary
11850694,living_street
11850694,tertiary
11850694,living_street
11850695,living_street
11850695,tertiary
11850696,tertiary
11851745,tertiary
11851745,residential
11851745,living_street
11851746,living_street
11851746,tertiary
11851746,residential
11851746,living_street
11851746,residential
11851746,living_street
11851746,residential
11851747,residential
11851747,living_street
11851747,residential
11851747,tertiary
11851747,living_street
11851747,residential
11851748,residential
11851748,tertiary
11851748,living_street
11851749,living_street
11851749,residential
11851749,living_street
11851750,living_street
11851750,residential
11851750,living_street
11851751,living_street
11851752,living_street
11851752,residential
11851752,living_street
11851753,living_street
11851753,residential
11851753,living_street
11851753,residential
11851753,living_street
11851754,living_street
11851754,residential
11851754,living_street
11851755,living_street
11851755,tertiary
11851755,living_street
11851756,living_street
11851756,residential
11851756,tertiary
11851756,residential
11851756,living_street
11851757,living_street
11851758,living_street
11851758,residential
11851758,living_street
11851758,residential
11851759,residential
11851759,living_street
11851759,tertiary
11851759,living_street
11851759,residential
11851759,living_street
11851759,tertiary
11851760,tertiary
11851760,residential
11851760,living_street
11851760,tertiary
11851760,living_street
11851760,residential
11851760,living_street
11851761,living_street
11851761,residential
11851761,living_street
11851762,living_street
11851762,residential
11851762,tertiary
11851762,living_street
11851762,residential
11851763,residential
11851763,living_street
11851764,living_street
11851764,residential
11851764,tertiary
11851764,living_street
11851764,residential
11851765,residential
11851765,living_street
11851765,residential
11851765,living_street
11851766,living_street
11851766,residential
11851766,living_street
11851766,residential
11851766,living_street
11851766,tertiary
11851766,living_street
11851766,tertiary
11851766,living_street
11851767,living_street
11851767,residential
11851767,living_street
11852088,living_street
11852088,residential
11852089,residential
11852089,tertiary
11852089,residential
11852089,tertiary
11852089,residential
11852089,tertiary
11852089,residential
11852090,residential
11852090,tertiary
11852090,residential
11852091,residential
11852092,residential
11852093,residential
11852094,residential
11852095,residential
11852095,tertiary
11852095,residential
11852095,tertiary
11852096,tertiary
11852096,residential
11852096,tertiary
11852096,residential
11852096,tertiary
11852097,tertiary
11852097,residential
11852097,tertiary
11852097,residential
11852098,residential
11852099,residential
11852099,tertiary
11852099,residential
11852100,residential
11852101,residential
11852101,tertiary
11852102,tertiary
11861281,tertiary
11861281,living_street
11861281,service
11861281,living_street
11861281,service
11861282,service
11861282,living_street
11861282,service
11861282,living_street
11861282,residential
11861282,living_street
11861282,service
11861282,living_street
11861283,living_street
11861283,service
11861283,living_street
11861283,service
11861283,residential
11861283,living_street
11861283,service
11861284,service
11861284,living_street
11861284,service
11861284,living_street
11861285,living_street
11861285,service
11861286,service
11861286,living_street
11861286,service
11861286,living_street
11861287,living_street
11861287,service
11861287,living_street
11861288,living_street
11861289,living_street
11861289,service
11861289,living_street
11861290,living_street
11861290,service
11861290,living_street
11861290,residential
11861290,living_street
11861290,service
11861291,service
11861291,living_street
11861291,service
11861291,living_street
11861291,residential
11861291,living_street
11861292,living_street
11861292,service
11861292,living_street
11861292,tertiary
11861292,living_street
11861293,living_street
11861293,service
11861293,living_street
11861293,service
11861293,living_street
11861294,living_street
11861295,living_street
11861295,service
11861295,living_street
11861295,tertiary
11861296,tertiary
11861296,living_street
11861296,service
11861296,living_street
11861296,residential
11861296,living_street
11861296,service
11861297,service
11861297,living_street
11861617,living_street
11864233,living_street
11864233,primary
11864235,primary
11864235,residential
11864235,living_street
11864236,living_street
11864236,residential
11864236,living_street
11864236,residential
11864237,residential
11864238,residential
11864239,residential
11864240,residential
11864240,living_street
11864240,residential
11864241,residential
11864241,living_street
11864241,residential
11864242,residential
11864242,living_street
11864242,residential
11864243,residential
11864243,living_street
11864243,residential
11864244,residential
11864244,living_street
11864244,residential
11864245,residential
11864245,living_street
11864245,residential
11864245,living_street
11864245,residential
11864245,living_street
11864246,living_street
11864246,residential
11864246,living_street
11864247,living_street
11864247,residential
11864247,living_street
11864248,living_street
11864248,residential
11864248,living_street
11864249,living_street
11864249,residential
11864249,living_street
11864250,living_street
11864250,residential
11864251,residential
11864251,living_street
11864251,residential
11864252,residential
11864252,living_street
11864253,living_street
11864254,living_street
11864254,residential
11864255,residential
11864255,living_street
11864255,residential
11864256,residential
11864256,living_street
11864256,residential
11864256,living_street
11864257,living_street
11864257,residential
11864258,residential
11864258,living_street
11864258,residential
11864258,living_street
11864258,residential
11864259,residential
11864259,living_street
11864259,residential
11864260,residential
11864260,living_street
11864260,residential
11864260,living_street
11864261,living_street
11864262,living_street
11864262,residential
11864262,living_street
