id,lat,long
132781510,23.644569,87.2668
132781511,23.644850,87.2676
132781511,23.644875,87.2656
132781511,23.645688,87.2681
132781511,23.646221,87.2684
132781512,23.646508,87.2633
132781512,23.646613,87.2702
132781512,23.646635,87.2691
132781512,23.646689,87.2713
132781512,23.646967,87.2622
132781513,23.647419,87.2737
132781513,23.647640,87.2745
132781513,23.647742,87.2754
132781513,23.648559,87.2768
132781514,23.648568,87.2550
132781514,23.648934,87.2525
132781514,23.648934,87.2528
132781514,23.648901,87.2531
132781515,23.649732,87.2781
132781516,23.654731,87.2832
132781517,23.658173,87.2868
132781521,23.658649,87.2873
133003792,23.597877,87.1846
133003793,23.599348,87.1811
133003793,23.599467,87.1805
133003793,23.599532,87.1806
133003793,23.601913,87.1772
133003864,23.652428,87.1297
133003866,23.653208,87.1272
133003867,23.653683,87.1255
133003869,23.654487,87.1228
133003872,23.655289,87.1200
133003878,23.656769,87.1179
133003883,23.658469,87.1155
133003887,23.660154,87.1132
133003890,23.661843,87.1108
133003893,23.663567,87.1084
133003898,23.665133,87.1063
133003900,23.665630,87.1043
133003902,23.666324,87.1011
133003903,23.666826,87.0989
133003907,23.667537,87.0957
133003911,23.668323,87.0922
133003915,23.668999,87.0892
133003917,23.669712,87.0860
133003917,23.670324,87.0833
133003918,23.671023,87.0801
133003919,23.671727,87.0770
133003920,23.672507,87.0742
133003922,23.673349,87.0712
133003924,23.674122,87.0231
133003924,23.674229,87.0681
133003926,23.675102,87.0649
133003926,23.675388,87.0258
133003926,23.675944,87.0619
133003928,23.676627,87.0284
133003928,23.676913,87.0369
133003928,23.676917,87.0585
133003930,23.677290,87.0390
133003930,23.677604,87.0560
133003930,23.677708,87.0355
133003930,23.677784,87.0417
133003930,23.677894,87.0311
133003930,23.678281,87.0445
133003932,23.678490,87.0529
133003933,23.678768,87.0472
133003933,23.678946,87.0333
133003934,23.679285,87.0501
133025355,23.525305,87.3542
133025356,23.526216,87.3548
133025358,23.527253,87.3552
133025359,23.527689,87.3548
133025361,23.529797,87.3552
133025362,23.531458,87.3555
133025363,23.533211,87.3586
133025364,23.535109,87.3619
133025365,23.536625,87.3645
133025366,23.538075,87.3671
133025367,23.539669,87.3699
133025367,23.540268,87.3718
133025368,23.541104,87.3745
133025368,23.541905,87.3771
133025369,23.542493,87.3791
133091786,23.532329,87.3511
133091786,23.534405,87.3506
133091788,23.537077,87.3498
133091788,23.539814,87.3490
133091789,23.542395,87.3483
133091790,23.544663,87.3476
133091791,23.546064,87.3800
133091792,23.547169,87.3470
133091792,23.549475,87.2702
133091792,23.549551,87.2703
133091793,23.549624,87.3808
133091793,23.549674,87.2699
133091793,23.549750,87.2699
133091793,23.549942,87.3461
133091793,23.550851,87.2708
133091794,23.551250,87.2711
133091794,23.551816,87.2713
133091794,23.552503,87.2716
133091794,23.552513,87.3454
133091795,23.553014,87.2720
133091795,23.553178,87.3817
133091795,23.553857,87.2725
133091796,23.555139,87.2733
133091798,23.555275,87.3446
133091798,23.555311,87.2899
133091799,23.555348,87.2873
133091799,23.555383,87.2871
133091800,23.555477,87.2869
133091800,23.555615,87.2867
133091800,23.555803,87.2866
133091801,23.556459,87.2741
133091801,23.556644,87.3825
133091801,23.556742,87.2861
133091801,23.557669,87.2749
133091802,23.558070,87.3438
133091802,23.558110,87.2518
133091802,23.558245,87.2512
133091802,23.558368,87.2155
133091802,23.558443,87.2519
133091802,23.558484,87.2512
133091802,23.558530,87.2851
133091802,23.558544,87.2754
133091803,23.558595,87.2147
133091803,23.558632,87.2519
133091803,23.558636,87.2150
133091803,23.558698,87.2849
133091803,23.558821,87.2513
133091804,23.558864,87.2847
133091804,23.558877,87.2518
133091804,23.558892,87.2849
133091804,23.558959,87.2847
133091804,23.558961,87.2848
133091804,23.558980,87.2846
133091804,23.558997,87.2848
133091804,23.559018,87.2848
133091804,23.559019,87.2758
133091805,23.559022,87.2514
133091806,23.559049,87.2849
133091806,23.559052,87.2846
133091806,23.559065,87.2518
133091806,23.559122,87.2848
133091806,23.559123,87.2849
133091806,23.559142,87.2845
133091806,23.559181,87.2515
133091806,23.559186,87.2848
133091806,23.559195,87.2518
133091807,23.559209,87.2845
133091807,23.559210,87.2850
133091807,23.559220,87.2516
133091807,23.559235,87.2848
133091807,23.559262,87.2846
133091807,23.559269,87.2518
133091807,23.559285,87.2847
133091807,23.559295,87.2846
133091807,23.559302,87.2847
133091807,23.559303,87.2851
133091808,23.559304,87.2849
133091808,23.559305,87.2516
133091808,23.559355,87.2851
133091808,23.559389,87.2517
133091808,23.559404,87.2853
133091808,23.559422,87.2518
133091808,23.559500,87.2844
133091809,23.559537,87.2845
133091809,23.559592,87.2858
133091810,23.559654,87.2901
133091810,23.559655,87.2861
133091810,23.559681,87.2865
133091812,23.559783,87.2844
133091812,23.559850,87.3833
133091812,23.559987,87.2521
133091812,23.560012,87.2524
133091813,23.560057,87.2523
133091813,23.560425,87.2770
133091813,23.560574,87.2771
133091813,23.560682,87.2529
